wall_s,step,updates,sps,reward,done_rate,clear_rate,n_clear,n_death,n_timeout,n_ep_window
4.3,2048,1,791,-0.0005,0.0000,0.0000,0,0,0,0
6.3,4096,2,1044,0.0000,0.0000,0.0000,0,0,0,0
8.3,6144,3,1043,0.0003,0.0000,0.0000,0,0,0,0
10.3,8192,4,1026,0.0053,0.0156,1.0000,1,0,0,1
12.2,10240,5,1050,0.0149,0.0625,1.0000,5,0,0,5
14.1,12288,6,1107,0.0225,0.1250,1.0000,13,0,0,13
15.7,14336,7,1277,0.0179,0.0938,1.0000,19,0,0,19
17.1,16384,8,1458,0.0240,0.1250,1.0000,27,0,0,27
18.5,18432,9,1451,0.0154,0.0781,1.0000,32,0,0,32
19.6,20480,10,1790,0.0206,0.1094,1.0000,39,0,0,39
20.7,22528,11,1871,0.0309,0.1562,1.0000,49,0,0,49
22.0,24576,12,1664,0.0483,0.2500,1.0000,65,0,0,65
23.2,26624,13,1655,0.0618,0.3125,1.0000,85,0,0,85
24.4,28672,14,1646,0.0625,0.3125,1.0000,105,0,0,105
25.7,30720,15,1625,0.0673,0.3438,1.0000,127,0,0,127
26.9,32768,16,1698,0.0707,0.3594,1.0000,150,0,0,150
28.1,34816,17,1695,0.0773,0.3906,1.0000,175,0,0,175
29.3,36864,18,1688,0.0970,0.4844,1.0000,206,0,0,206
30.6,38912,19,1588,0.1085,0.5625,1.0000,239,0,0,239
31.9,40960,20,1630,0.1136,0.5781,1.0000,274,0,0,274
33.0,43008,21,1845,0.1298,0.6562,1.0000,311,0,0,311
34.2,45056,22,1631,0.1292,0.6406,1.0000,349,0,0,349
35.4,47104,23,1732,0.1585,0.8125,1.0000,395,0,0,395
36.6,49152,24,1662,0.1524,0.7969,0.9955,439,0,2,441
37.8,51200,25,1728,0.1554,0.7812,0.9959,483,0,2,485
39.0,53248,26,1718,0.1670,0.8438,0.9963,533,0,2,535
40.2,55296,27,1716,0.1653,0.8281,0.9966,579,0,2,581
41.4,57344,28,1664,0.1715,0.8594,0.9968,617,0,2,619
42.7,59392,29,1675,0.1659,0.8281,0.9969,649,0,2,651
43.9,61440,30,1681,0.1678,0.8438,0.9971,682,0,2,684
45.2,63488,31,1612,0.1791,0.9062,0.9972,721,0,2,723
46.4,65536,32,1651,0.1716,0.8594,0.9973,750,0,2,752
47.6,67584,33,1770,0.1765,0.8906,0.9974,782,0,2,784
48.8,69632,34,1700,0.1695,0.8438,0.9975,810,0,2,812
50.0,71680,35,1704,0.1681,0.8438,0.9976,839,0,2,841
51.2,73728,36,1727,0.1713,0.8594,0.9977,853,0,2,855
52.3,75776,37,1738,0.1842,0.9375,0.9977,877,0,2,879
53.6,77824,38,1625,0.1773,0.8906,0.9977,886,0,2,888
54.9,79872,39,1600,0.1724,0.8594,0.9978,897,0,2,899
56.1,81920,40,1650,0.1829,0.9219,1.0000,903,0,0,903
57.4,83968,41,1621,0.1614,0.7969,1.0000,901,0,0,901
58.7,86016,42,1603,0.1743,0.8906,1.0000,902,0,0,902
59.9,88064,43,1607,0.1856,0.9375,1.0000,901,0,0,901
61.1,90112,44,1723,0.1730,0.8594,1.0000,907,0,0,907
62.4,92160,45,1657,0.1647,0.8281,1.0000,906,0,0,906
63.5,94208,46,1824,0.1400,0.7031,1.0000,897,0,0,897
64.7,96256,47,1651,0.1571,0.7969,1.0000,891,0,0,891
66.0,98304,48,1642,0.1564,0.7812,1.0000,890,0,0,890
67.2,100352,49,1601,0.1471,0.7344,1.0000,875,0,0,875
68.5,102400,50,1611,0.1565,0.7969,1.0000,868,0,0,868
69.8,104448,51,1645,0.1556,0.7812,1.0000,863,0,0,863
70.9,106496,52,1752,0.1553,0.7812,1.0000,853,0,0,853
72.0,108544,53,1851,0.1534,0.7656,1.0000,847,0,0,847
73.3,110592,54,1611,0.1519,0.7656,1.0000,843,0,0,843
74.5,112640,55,1655,0.1529,0.7656,1.0000,838,0,0,838
75.8,114688,56,1626,0.1517,0.7656,1.0000,832,0,0,832
77.0,116736,57,1698,0.1497,0.7500,1.0000,821,0,0,821
78.2,118784,58,1674,0.1662,0.8438,1.0000,822,0,0,822
79.5,120832,59,1664,0.1534,0.7656,1.0000,820,0,0,820
80.5,122880,60,1968,0.1535,0.7656,1.0000,817,0,0,817
81.7,124928,61,1657,0.1572,0.7969,1.0000,814,0,0,814
83.0,126976,62,1586,0.1611,0.8125,1.0000,811,0,0,811
84.3,129024,63,1619,0.1646,0.8281,1.0000,815,0,0,815
85.6,131072,64,1596,0.1630,0.8125,1.0000,816,0,0,816
86.8,133120,65,1624,0.1675,0.8438,1.0000,819,0,0,819
88.1,135168,66,1634,0.1757,0.8906,1.0000,829,0,0,829
89.3,137216,67,1684,0.1767,0.8906,1.0000,838,0,0,838
90.5,139264,68,1718,0.1688,0.8438,1.0000,840,0,0,840
91.7,141312,69,1666,0.1666,0.8438,1.0000,839,0,0,839
93.0,143360,70,1677,0.1763,0.8906,1.0000,850,0,0,850
94.2,145408,71,1610,0.1706,0.8594,1.0000,856,0,0,856
95.5,147456,72,1596,0.1612,0.7969,1.0000,856,0,0,856
96.7,149504,73,1669,0.1730,0.8750,1.0000,861,0,0,861
98.2,151552,74,1377,0.1741,0.8906,1.0000,858,0,0,858
99.3,153600,75,1865,0.1684,0.8438,1.0000,865,0,0,865
100.5,155648,76,1769,0.1676,0.8438,1.0000,868,0,0,868
101.7,157696,77,1644,0.1765,0.8906,1.0000,874,0,0,874
102.9,159744,78,1765,0.1576,0.7812,1.0000,872,0,0,872
104.1,161792,79,1685,0.1753,0.8906,1.0000,882,0,0,882
105.3,163840,80,1669,0.1657,0.8281,1.0000,882,0,0,882
106.6,165888,81,1570,0.1710,0.8594,1.0000,882,0,0,882
107.9,167936,82,1620,0.1757,0.8906,1.0000,882,0,0,882
109.0,169984,83,1933,0.1547,0.7656,1.0000,886,0,0,886
110.2,172032,84,1608,0.1750,0.8906,1.0000,882,0,0,882
111.5,174080,85,1670,0.1708,0.8594,1.0000,881,0,0,881
